,,Pre,,,,,,Pre,,,,,
Program,Min n,HO Apps,Lambdas,Under-Sat calls,Over-Sat calls,Functions,Nodes,HO Apps,Lambdas,Under-Sat calls,Over-Sat calls,Functions,Nodes
bernouilli,,28,0,240,162,527,5816,2,0,0,0,373,3825
digits-of-e1,,25,0,217,128,494,5209,2,0,0,0,325,3329
digits-of-e2,,28,0,236,170,535,5734,2,0,0,1,376,3762
exp3_8,,26,0,232,128,479,4940,2,0,0,0,294,2950
gen_regexps,,19,0,116,50,251,2153,0,0,0,0,173,1467
integrate,,39,0,348,319,809,10107,2,0,0,0,477,6608
paraffins,,27,0,360,324,839,10643,2,0,0,0,428,4598
primes,,28,0,217,120,493,5054,2,0,0,0,310,3078
queens,,26,0,217,120,485,5027,2,0,0,0,304,3081
rfib,,27,0,338,328,805,10170,2,0,0,0,534,7286
tak,,25,0,212,120,478,4950,4,0,0,0,292,2964
wheel-sieve1,,27,0,224,124,508,5295,2,0,0,0,330,3401
wheel-sieve2,,26,0,224,136,504,5390,2,0,0,0,325,3415
x2n1,,27,0,345,358,819,10522,2,0,0,0,384,4166
